CWRC ID,URI,Primary Title,Alternative Title,Other Title,No Type Title,Orlando Record Identifier,Counts,Count_primary,Count_alternative,Count_other,Count_none,Count_all
ebb7c96a-cd5d-44b9-8e19-b60d151e2853,https://commons.cwrc.ca/orlando:ebb7c96a-cd5d-44b9-8e19-b60d151e2853,The Terrors of Dr. Treviles: A Romance,,,,56148,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ebb83658-f269-48c4-8215-950d57598c77,https://commons.cwrc.ca/orlando:ebb83658-f269-48c4-8215-950d57598c77,"Edgeworth's Stern Father: Escaping Thomas Day, 1795-1801",,,,107961,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ebb85891-5ec2-4bfd-81c2-1578156701e7,https://commons.cwrc.ca/orlando:ebb85891-5ec2-4bfd-81c2-1578156701e7,Carol Ann Duffy leaps into expenses row with first official poem as laureate,,,,58125,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ebb97ba6-3236-40e1-8204-3cf261472908,https://commons.cwrc.ca/orlando:ebb97ba6-3236-40e1-8204-3cf261472908,"Journal Kept During a Visit to Germany in 1799, 1800",,,,32996,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ebbfc298-4954-4e24-9b7e-724bd8a4827b,https://commons.cwrc.ca/orlando:ebbfc298-4954-4e24-9b7e-724bd8a4827b,Patriarchal Relations and Patterns of Sex Segregation in the Medical Division of Labour,,,,108651,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ebc0c20a-42dc-4280-81a9-2f630239733c,https://commons.cwrc.ca/orlando:ebc0c20a-42dc-4280-81a9-2f630239733c,Jane Owen,Antidote against Purgatory,,,32386,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ebc0c66a-55f7-4411-93e0-1f9080155743,https://commons.cwrc.ca/orlando:ebc0c66a-55f7-4411-93e0-1f9080155743,Patriotic Songs by Agnes Strickland and Susanna Strickland,,,,16493,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ebc393f3-c9be-4690-9d8c-50c22a39db8e,https://commons.cwrc.ca/orlando:ebc393f3-c9be-4690-9d8c-50c22a39db8e,The New Tribe,,,,14037,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ebc50679-fb46-4ca9-a1e0-77ffa1687e22,https://commons.cwrc.ca/orlando:ebc50679-fb46-4ca9-a1e0-77ffa1687e22,Discarded Legacy,Discarded Legacy: Politics and Poetics in the Life of Frances E. W. Harper 1825-1911,,,36140,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ebc6f5b2-7583-4346-96c2-fa899fe501ab,https://commons.cwrc.ca/orlando:ebc6f5b2-7583-4346-96c2-fa899fe501ab,The Book of Folly,,,,78930,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ebccd853-0d96-44c8-bb6c-4e757a36539e,https://commons.cwrc.ca/orlando:ebccd853-0d96-44c8-bb6c-4e757a36539e,Shikasta,"Shikasta Re: Colonised Planet 5: personal, psychological, historical documents relating to visit by Johor (George Sherban) emissary (grade 9), 87th of the period of the last days",,,104944,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ebce9833-40ae-4c92-9842-94c666057d86,https://commons.cwrc.ca/orlando:ebce9833-40ae-4c92-9842-94c666057d86,"Domestic Duties: or, Instructions to Young Married Ladies","Domestic Duties: or, Instructions to Young Married Ladies, on the management of their households, and the regulation of their conduct in the various relations and duties of married life",,,84125,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ebceae22-bbe3-4a50-bbf5-8ba216858554,https://commons.cwrc.ca/orlando:ebceae22-bbe3-4a50-bbf5-8ba216858554,The System,The System. A Tale of the West Indies,,,103128,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ebd46666-ccbf-40ce-a9bf-6a8ca47122dd,https://commons.cwrc.ca/orlando:ebd46666-ccbf-40ce-a9bf-6a8ca47122dd,The Rose Geranium,"ENC, The Rose Geranium, 1981",,,105436,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ebd5f25e-913a-49e8-b0aa-1ed1cc1a113f,https://commons.cwrc.ca/orlando:ebd5f25e-913a-49e8-b0aa-1ed1cc1a113f,Zoraida,"Zoraida; or, Village Annals. A Novel",,,21627,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ebd6f6b3-62d0-45e0-bf8c-170bbd6b9067,https://commons.cwrc.ca/orlando:ebd6f6b3-62d0-45e0-bf8c-170bbd6b9067,Contemporaries and Snobs,,,,33646,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ebd74268-f98a-470f-b2ca-bc73672617c3,https://commons.cwrc.ca/orlando:ebd74268-f98a-470f-b2ca-bc73672617c3,The French Window,,,,106139,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ebd78b22-8bfd-4ed6-903f-d11eda4a0ce8,https://commons.cwrc.ca/orlando:ebd78b22-8bfd-4ed6-903f-d11eda4a0ce8,Between Men,Between Men: English Literature and Male Homosocial Desire,,,34378,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ebd986c8-6e34-4807-958e-4555d6b5fad6,https://commons.cwrc.ca/orlando:ebd986c8-6e34-4807-958e-4555d6b5fad6,The Wide Net and Other Stories,The Wide Net,,,89469,"{'all': 2, 'primary': 1, 'alternative': 1, 'none': 0, 'other': 0}",1,1,0,0,2
ebe6aa65-33cf-4e57-994b-29f99ee8c47d,https://commons.cwrc.ca/orlando:ebe6aa65-33cf-4e57-994b-29f99ee8c47d,"Celebration; and, The Room",,,,71836,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ebe7a0fd-e385-4cd3-a2a2-9fa703a569ac,https://commons.cwrc.ca/orlando:ebe7a0fd-e385-4cd3-a2a2-9fa703a569ac,A Woman of Mystery,,,,69266,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
ebe7cb42-736e-4e82-9838-471c373b3976,https://commons.cwrc.ca/orlando:ebe7cb42-736e-4e82-9838-471c373b3976,Making History. Female Church of England bishop consecrated in York,,,,84705,"{'all': 1, 'primary': 1, 'alternative': 0, 'none': 0, 'other': 0}",1,0,0,0,1
