Label,External URI
"Chapman and Hall",http://viaf.org/viaf/151283596
"Chapman",http://viaf.org/viaf/14820783
"Charles Knight",http://viaf.org/viaf/148353283
"Charles Scribner's Sons",http://viaf.org/viaf/121555288
"Charles Tilt",http://viaf.org/viaf/50271899
"Chatto & Windus",http://viaf.org/viaf/131167970
"Chatto and Windus",http://viaf.org/viaf/131167970
"Chatto",http://viaf.org/viaf/131167970
"Chawton House Library",http://viaf.org/viaf/125795705
"Clarendon Press",http://viaf.org/viaf/140104148
"Clarendon",http://viaf.org/viaf/140104148
"Coach House Press",http://viaf.org/viaf/155888541
"Colburn",http://viaf.org/viaf/90644401
"Colin Smythe",http://viaf.org/viaf/168993563
"Collins",http://viaf.org/viaf/129138489
"Collins; Dodd, Mead",http://viaf.org/viaf/144898842
"Columbia University Press",http://viaf.org/viaf/127175063
"Constable & Co.",http://viaf.org/viaf/156672148
"Constable and Company",http://viaf.org/viaf/156672148
"Constable",http://viaf.org/viaf/294124461
"Continuum",http://viaf.org/viaf/151371874
"Cork University Press",http://viaf.org/viaf/140069880
"Cornell University Press",http://viaf.org/viaf/297828202
"Cornerstone Hutchinson",http://viaf.org/viaf/144550791
"Coward-McCann",http://viaf.org/viaf/123569460
"Cresset Press",http://viaf.org/viaf/130207793
"Croom Helm",http://viaf.org/viaf/144355732
"Cuala Press",http://viaf.org/viaf/151773916
"D. Appleton",http://viaf.org/viaf/129012558
"D. S. Brewer",http://viaf.org/viaf/79052528
"Daldy, Isbister",http://viaf.org/viaf/132886564
"Darton and Harvey",http://viaf.org/viaf/158650657
"Darton",http://viaf.org/viaf/158650657
"Darton, Harvey and Darton",http://viaf.org/viaf/156313027
"David Bogue",http://viaf.org/viaf/311352557
"David Douglas",http://viaf.org/viaf/313086845
"David and Charles",http://viaf.org/viaf/137523007
"Dent",http://viaf.org/viaf/2833599
"Department of English, Temple University",http://viaf.org/viaf/147720522
"Department of English, University of Queensland",http://viaf.org/viaf/157639707
"Deutsch",http://viaf.org/viaf/132580591
"Dodd, Mead",http://viaf.org/viaf/266483422
"Dodsley",http://viaf.org/viaf/314332
"Dolmen",http://viaf.org/viaf/295173224
"Doubleday",http://viaf.org/viaf/294994700
"Duckworth and Co.",http://viaf.org/viaf/144762049
"Duckworth",http://viaf.org/viaf/144762049
"Duke University Press",http://viaf.org/viaf/264801395
"Dutton",http://viaf.org/viaf/266034617
"E. Arnold",http://viaf.org/viaf/173549121
"E. Benn",http://viaf.org/viaf/167993560
"E. Curll",http://viaf.org/viaf/73995150
"E. Mathews",http://viaf.org/viaf/57413861
"E. Moxon",http://viaf.org/viaf/37803933
"E. P. Dutton",http://viaf.org/viaf/266034617
"E. and C. Dilly",http://viaf.org/viaf/155859883
"ECW Press",http://viaf.org/viaf/137764636
"Edinburgh University Press",http://viaf.org/viaf/130458260
"Editions de Minuit",http://viaf.org/viaf/149880181
"Edmonston and Douglas",http://viaf.org/viaf/128197663
"Edward Arnold",http://viaf.org/viaf/173549121
"Edward Moxon",http://viaf.org/viaf/37803933
"Edwin Mellen Press",http://viaf.org/viaf/123244823
"Edwin Mellen",http://viaf.org/viaf/123244823
"Effingham Wilson",http://viaf.org/viaf/63104125
"Egoist",http://viaf.org/viaf/133764091
"Elkin Mathews and John Lane",http://viaf.org/viaf/167144783002351387426
"Elkin Mathews",http://viaf.org/viaf/57413861
"Elliot Stock",http://viaf.org/viaf/311359948
"Ellis and White",http://viaf.org/viaf/1247154137631715370007
