Orlando Tag,Predicate Type,Attribute Type,Attribute Value,Include Empty Attribute,Domain Type,Range Type,Context Type,Specific Property,Generic Property,Function Type,Custom Instructions,Questions,Key
PLITERARYSCHOOLS,Descriptive,INVOLVEMENT,INVOLVEMENTYES,,Entry Subject,String,WritingConditionsContext,c_hasLiterarySchoolInvolvementDescription,c_LiterarySchoolDescription,Standard,,,PLITERARYSCHOOLSDescriptiveINVOLVEMENTINVOLVEMENTYES
PMANUSCRIPTHISTORY,Descriptive,,,,Work ELSE Entry Subject Ouvre,String,TextualHistoryContext,c_hasManuscriptHistory,c_hasTextualHistoryRelationTo,Standard,,,
PMANUSCRIPTHISTORY,Embedded Entities,,,,Work ELSE Entry Subject,All Named Entities,TextualHistoryContext,c_relatesViaManuscriptTo,c_hasTextualHistoryRelationTo,Standard,,,
PMATERIALCONDITIONS,Descriptive,,,,Work ELSE Entry Subject,String,WritingConditionsContext,c_hasMaterialWritingCondition,c_hasWritingConditionsRelationTo,Standard,,,PMATERIALCONDITIONSDescriptive
PMATERIALCONDITIONS,Embedded Entities,,,,Work ELSE Entry Subject,All Named Entities,WritingConditionsContext,c_hasMaterialWritingRelationTo,c_hasWritingConditionsRelationTo,Standard,,,PMATERIALCONDITIONSEmbedded Entities
PMATERIALCONDITIONS,Embedded Entities,DISPLACEMENT,DISPLACEMENTYES,,Work ELSE Entry Subject,Places,WritingConditionsContext,c_hasDisplacedWritingRelationTo,c_hasMaterialWritingCondition,Standard,,,PMATERIALCONDITIONSEmbedded EntitiesDISPLACEMENTDISPLACEMENTYES
PMODEOFPUBLICATION,Attributes,PUBLICATIONMODE,,,Work ELSE Entry Subject,cwrc:PublicationMode,PublishingContext,c_hasPublicationModeType,c_hasProductionRelationTo,Custom,,,PMODEOFPUBLICATIONAttributesPUBLICATIONMODE
PMODEOFPUBLICATION,Descriptive,,,,Work ELSE Entry Subject,String,PublishingContext,c_hasPublicationMode,c_hasProductionRelationTo,Standard,,,PMODEOFPUBLICATIONDescriptive
PMODEOFPUBLICATION,Embedded Entities,,,,Work ELSE Entry Subject,All Named Entities,PublishingContext,c_hasPublicationModeRelationTo,c_hasProductionRelationTo,Standard,,,PMODEOFPUBLICATIONEmbedded Entities
PMOTIVES,Attributes,MOTIVETYPE,ASCRIBED,,Work ELSE Entry Subject,String,WritingConditionsContext,c_hasAscribedWritingMotive,c_hasWritingConditionsRelationTo,Standard,,,PMOTIVESAttributesMOTIVETYPEASCRIBED
PMOTIVES,Attributes,MOTIVETYPE,SELF-IDENTIFIED,,Work ELSE Entry Subject,String,WritingConditionsContext,c_hasSelfIdentifiedWritingMotive,c_hasWritingConditionsRelationTo,Standard,,,PMOTIVESAttributesMOTIVETYPESELF-IDENTIFIED
