orlando id,wikidata uri
wollha,None
wooda_,http://www.wikidata.org/entity/Q58317174
woodem,http://www.wikidata.org/entity/Q63762604
woolvi,http://www.wikidata.org/entity/Q40909
worddo,None
wrigfr,http://www.wikidata.org/entity/Q441537
wrigsu,http://www.wikidata.org/entity/Q19288404
yearan,http://www.wikidata.org/entity/Q4766761
yongch,http://www.wikidata.org/entity/Q433098
younma,http://www.wikidata.org/entity/Q58321219
