orlando id,wikidata uri
clarmc,http://www.wikidata.org/entity/Q4222976
clerag,http://www.wikidata.org/entity/Q2826927
clifan,http://www.wikidata.org/entity/Q4943112
clouar,None
cobbfr,http://www.wikidata.org/entity/Q466162
coddcl,http://www.wikidata.org/entity/Q18559708
colech,http://www.wikidata.org/entity/Q5109046
colema,http://www.wikidata.org/entity/Q433136
colesa,None
collja,http://www.wikidata.org/entity/Q6151265
collm3,http://www.wikidata.org/entity/Q19324861
collwi,None
comtau,None
conrjo,http://www.wikidata.org/entity/Q82925
cookan,http://www.wikidata.org/entity/Q18592937
cookca,http://www.wikidata.org/entity/Q292223
coopel,http://www.wikidata.org/entity/Q60304242
coopma,http://www.wikidata.org/entity/Q19369200
corema,http://www.wikidata.org/entity/Q263254
cornca,http://www.wikidata.org/entity/Q5045023
corpha,None
courwi,http://www.wikidata.org/entity/Q4248930
cowaro,http://www.wikidata.org/entity/Q7367223
cowlha,http://www.wikidata.org/entity/Q3126838
cowpsa,http://www.wikidata.org/entity/Q18576990
craidi,http://www.wikidata.org/entity/Q2331155
craige,http://www.wikidata.org/entity/Q4240054
craiis,http://www.wikidata.org/entity/Q18721964
crokbm,http://www.wikidata.org/entity/Q4918859
crokma,http://www.wikidata.org/entity/Q18576679
cromri,http://www.wikidata.org/entity/Q2402392
crosvi,http://www.wikidata.org/entity/Q567045
cullha,http://www.wikidata.org/entity/Q4943759
cunnma,http://www.wikidata.org/entity/Q18576680
cuthca,http://www.wikidata.org/entity/Q5052618
dacrba,http://www.wikidata.org/entity/Q4859466
damean,http://www.wikidata.org/entity/Q1246573
danis2,http://www.wikidata.org/entity/Q7422233
danval,http://www.wikidata.org/entity/Q4726245
darwma,http://www.wikidata.org/entity/Q6780950
davese,http://www.wikidata.org/entity/Q15440636
davire,http://www.wikidata.org/entity/Q2890486
davysa,http://www.wikidata.org/entity/Q58316709
deevte,None
defoda,http://www.wikidata.org/entity/Q40946
delael,http://www.wikidata.org/entity/Q6929950
delama,http://www.wikidata.org/entity/Q510352
