ORLANDO TERM,Possible URI,Possible URI #2
childrensliterature,http://sparql.cwrc.ca/ontologies/genre#childrensLiterature,
chronology,http://sparql.cwrc.ca/ontologies/genre#chronology,
clerihew,http://sparql.cwrc.ca/ontologies/genre#clerihew,
closet drama,http://sparql.cwrc.ca/ontologies/genre#closetDrama,
closetdrama,http://sparql.cwrc.ca/ontologies/genre#closetDrama,
collection,http://sparql.cwrc.ca/ontologies/genre#collection,
collection form,http://sparql.cwrc.ca/ontologies/genre#CollectionForm,
collective creation,http://sparql.cwrc.ca/ontologies/genre#collectiveCreation,
colouring book,http://sparql.cwrc.ca/ontologies/genre#colouringBook,
colouringbook,http://sparql.cwrc.ca/ontologies/genre#colouringBook,
column,http://sparql.cwrc.ca/ontologies/genre#column,
comedic genre,http://sparql.cwrc.ca/ontologies/genre#ComedicGenre,
comedy,http://sparql.cwrc.ca/ontologies/genre#comedy,
comedy of humours,http://sparql.cwrc.ca/ontologies/genre#comedyOfHumours,
comedy of intrigue,http://sparql.cwrc.ca/ontologies/genre#comedyOfIntrigue,
comedy of manners,http://sparql.cwrc.ca/ontologies/genre#comedyOfManners,
comedy of menace,http://sparql.cwrc.ca/ontologies/genre#comedyOfMenace,
comedyofhumours,http://sparql.cwrc.ca/ontologies/genre#comedyOfHumours,
comedyofintrigue,http://sparql.cwrc.ca/ontologies/genre#comedyOfIntrigue,
comedyofmanners,http://sparql.cwrc.ca/ontologies/genre#comedyOfManners,
comedyofmenace,http://sparql.cwrc.ca/ontologies/genre#comedyOfMenace,
comic,http://sparql.cwrc.ca/ontologies/genre#comicbook,
comicbook,http://sparql.cwrc.ca/ontologies/genre#comicbook,
coming out,http://sparql.cwrc.ca/ontologies/genre#comingOut,
comingout,http://sparql.cwrc.ca/ontologies/genre#comingOut,
commentary,http://sparql.cwrc.ca/ontologies/genre#commentary,
commonplace book,http://sparql.cwrc.ca/ontologies/genre#commonplaceBook,
commonplacebook,http://sparql.cwrc.ca/ontologies/genre#commonplaceBook,
companion,http://sparql.cwrc.ca/ontologies/genre#manual,
computer program,http://sparql.cwrc.ca/ontologies/genre#computerProgram,
computerprogram,http://sparql.cwrc.ca/ontologies/genre#computerProgram,
condition of england novel,http://sparql.cwrc.ca/ontologies/genre#conditionOfEnglandNovel,
conditionofenglandnovel,http://sparql.cwrc.ca/ontologies/genre#conditionOfEnglandNovel,
conduct literature,http://sparql.cwrc.ca/ontologies/genre#conductLiterature,
conductliterature,http://sparql.cwrc.ca/ontologies/genre#conductLiterature,
conversion narrative,http://sparql.cwrc.ca/ontologies/genre#conversionNarrative,
cookbook,http://sparql.cwrc.ca/ontologies/genre#cookbook,
correspondence,http://sparql.cwrc.ca/ontologies/genre#letter,
