RDF Type,uri,Official Label,alt label #0,alt label #1,alt label #2,alt label #3,alt label #4,alt label #5,alt label #6,alt label #7,alt label #8,alt label #9,alt label #10,alt label #11,alt label #12
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/ita,Italian,italian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/jpn,Japanese,Japanese,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/kan,Kanarese,kanarese,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/lat,Latin,latin,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/mar,Marathi,marathi,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/may,Malay,malay,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/per,Persian,persian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/pli,Pali,pali,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/pol,Polish,Polish,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/rus,Russian,russian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/san,Sanskrit,sanskrit,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/spa,Spanish,spanish,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/tha,Thai,thai,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/ukr,Ukrainian,Ukrainian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/urdu,Hindustani,hindustani,Urdu,,,,,,,,,,,
http://id.lincsproject.ca/identity/Language,http://id.loc.gov/vocabulary/languages/wel,Welsh,welsh,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300015776,Nigerian,nigerian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300018863,Indian (South Asian),indian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300021959,New Zealand,new zealander,new zealand,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300107948,Cuban,cuban,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300107950,Jamaican,jamaican,jamaica,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300107956,American (North American),american,america,usa,us,united states,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300107962,Canadian,canadian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300107967,Brazilian,Brazilian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300107971,Peruvian,peruvian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111153,Austrian,austrian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111156,Belgian (modern),Belgian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111159,British (modern),british,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111163,Bulgarian (culture or style),bulgarian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111172,Danish (culture or style),danish,denmark,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111175,Dutch (culture or style),netherlands,the netherlands,dutch,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111178,English (culture or style),english,englishwoman,england,english born,english father,half english,northern english,anglo,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111188,French (culture or style),french,french extraction,french mother,half french,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111192,"German (culture, style, period)",german,germany,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111195,Hungarian,hungarian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111198,Italian (culture or style),italian,italy,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111204,Polish (culture),polish,pollish,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111207,Portuguese (culture or style),portuguese,portugal,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111210,Romanian (culture or style),romania,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111212,Scottish,scottish,scots,scotswoman,scotland,half scots,scotch,shetland,scot,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111215,Spanish (culture or style),spanish,spain,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111218,Swedish (culture or style),swedish,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111221,Swiss,swiss,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111225,Welsh (culture or style),welsh,welsh extraction,Welsh lineage (ancient descent though little money on both sides of her family).,Walsh,welshwoman,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111259,Irish,irish,irishwoman,half irish,ireland,irishness,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300111276,Russian (culture or style),russian,,,,,,,,,,,,
http://id.lincsproject.ca/identity/NationalHeritage,http://vocab.getty.edu/aat/300193868,Turkish (culture or style),turkish,,,,,,,,,,,,
