ORLANDO TERM,Possible URI,Possible URI #2
Sound Recording Medium,http://id.lincsproject.ca/genre/SoundRecordingMedium
Standalone Work/Book,http://id.lincsproject.ca/genre/StandaloneWork
Still Image Medium,http://id.lincsproject.ca/genre/StillImageMedium
Textual Medium,http://id.lincsproject.ca/genre/TextualMedium
Thematic Genre,http://id.lincsproject.ca/genre/ThematicGenre
Three-Dimensional Medium,http://id.lincsproject.ca/genre/ThreeDimensionalMedium
Visual Art Medium,http://id.lincsproject.ca/genre/VisualArtMedium
Visual Medium,http://id.lincsproject.ca/genre/VisualMedium
abridgement,http://id.lincsproject.ca/genre/abridgement
academic writing,http://id.lincsproject.ca/genre/scholarlyWriting
account book,http://id.lincsproject.ca/genre/accountBook
accountbook,http://id.lincsproject.ca/genre/accountBook
aclef,http://id.lincsproject.ca/genre/aClef
acrostic,http://id.lincsproject.ca/genre/acrostic
adaptation,http://id.lincsproject.ca/genre/adaptation
administrative decision,http://id.lincsproject.ca/genre/administrativeDecision
administrativedecision,http://id.lincsproject.ca/genre/administrativeDecision
adventure writing,http://id.lincsproject.ca/genre/adventureWriting
adventurewriting,http://id.lincsproject.ca/genre/adventureWriting
advertisement,http://id.lincsproject.ca/genre/advertisement
advertisementform,http://id.lincsproject.ca/genre/AdvertisementForm
advertising copy,http://id.lincsproject.ca/genre/AdvertisementForm
afterpiece,http://id.lincsproject.ca/genre/afterpiece
afterword,http://id.lincsproject.ca/genre/afterword
agitprop,http://id.lincsproject.ca/genre/agitprop
album,http://id.lincsproject.ca/genre/scrapbook
allegory,http://id.lincsproject.ca/genre/allegory
allégorie,http://id.lincsproject.ca/genre/allegory
almanac,http://id.lincsproject.ca/genre/almanac
alphabet,http://id.lincsproject.ca/genre/alphabet
alphabetform,http://id.lincsproject.ca/genre/AlphabetForm
amour,http://id.lincsproject.ca/genre/love
anacreontic,http://id.lincsproject.ca/genre/anacreontic
anagram,http://id.lincsproject.ca/genre/anagram
anagramme,http://id.lincsproject.ca/genre/anagram
animal story,http://id.lincsproject.ca/genre/animalStory
animalstory,http://id.lincsproject.ca/genre/animalStory
animation,http://id.lincsproject.ca/genre/animation
annotation,http://id.lincsproject.ca/genre/annotation
announcement,http://id.lincsproject.ca/genre/announcement
answer,http://id.lincsproject.ca/genre/answer
anthem,http://id.lincsproject.ca/genre/anthem
anthologie,http://id.lincsproject.ca/genre/anthology
anthology,http://id.lincsproject.ca/genre/anthology
anti-romance,http://id.lincsproject.ca/genre/antiromance
antiromance,http://id.lincsproject.ca/genre/antiromance
aphorism,http://id.lincsproject.ca/genre/aphorism
aphorisme,http://id.lincsproject.ca/genre/aphorism
apologie,http://id.lincsproject.ca/genre/apology
apology,http://id.lincsproject.ca/genre/apology
appendix,http://id.lincsproject.ca/genre/appendix
architectural writing,http://id.lincsproject.ca/genre/architecturalWriting
architecturalwriting,http://id.lincsproject.ca/genre/architecturalWriting
architecture,http://id.lincsproject.ca/genre/architecturalWriting
archival material,http://id.lincsproject.ca/genre/archivalMaterial
archivalmaterial,http://id.lincsproject.ca/genre/archivalMaterial
art criticism,http://id.lincsproject.ca/genre/artCriticism
artcriticism,http://id.lincsproject.ca/genre/artCriticism
artist's book,http://id.lincsproject.ca/genre/artistsBook
artistsbook,http://id.lincsproject.ca/genre/artistsBook
atlas,http://id.lincsproject.ca/genre/atlas
auditorymedium,http://id.lincsproject.ca/genre/AuditoryMedium
autobiographicalgenre,http://id.lincsproject.ca/genre/AutobiographicalGenre
autobiographie,http://id.lincsproject.ca/genre/autobiography
autobiography,http://id.lincsproject.ca/genre/autobiography
ballad opera ou opéra-ballade,http://id.lincsproject.ca/genre/balladOpera
ballad opera,http://id.lincsproject.ca/genre/balladOpera
ballad,http://id.lincsproject.ca/genre/ballad
ballade,http://id.lincsproject.ca/genre/ballade
balladopera,http://id.lincsproject.ca/genre/balladOpera
ballet,http://id.lincsproject.ca/genre/ballet
bande dessinée,http://id.lincsproject.ca/genre/comicBook
bergamasque,http://id.lincsproject.ca/genre/bergamasque
bestiaire,http://id.lincsproject.ca/genre/bestiary
