File,ID,Project ID,Record Creation Date,Record Change Date,Preferred Name,Displayed Name,Orlando Standard Name,SameAs Wikidata,SameAs VIAF,SameAs Getty,Alternate Name,Alternate Names,Historic Name,CWRC URI,Primary URI,Secondary URI
orlando_6ff453fc-84e7-4f2b-8a17-f44b1ba6415a,6ff453fc-84e7-4f2b-8a17-f44b1ba6415a,orlando,2020-09-03,2020-09-03,Writers' Conference of Allied Nations,,Writers' Conference of Allied Nations,,,,,,,https://commons.cwrc.ca/orlando:6ff453fc-84e7-4f2b-8a17-f44b1ba6415a,https://commons.cwrc.ca/orlando:6ff453fc-84e7-4f2b-8a17-f44b1ba6415a,
orlando_6ff5b1cd-8c42-4968-a5d7-e3a00452221f,6ff5b1cd-8c42-4968-a5d7-e3a00452221f,orlando,2020-09-03,2020-09-03,St Teresa's Hall,,St Teresa's Hall,,,,,,,https://commons.cwrc.ca/orlando:6ff5b1cd-8c42-4968-a5d7-e3a00452221f,https://commons.cwrc.ca/orlando:6ff5b1cd-8c42-4968-a5d7-e3a00452221f,
orlando_6ffbbd32-cfff-4b55-9aa2-2a275ac0ddde,6ffbbd32-cfff-4b55-9aa2-2a275ac0ddde,orlando,2020-09-03,2020-09-03,Orlando Hodgson,,Orlando Hodgson,,,,Hodgson,,,https://commons.cwrc.ca/orlando:6ffbbd32-cfff-4b55-9aa2-2a275ac0ddde,https://commons.cwrc.ca/orlando:6ffbbd32-cfff-4b55-9aa2-2a275ac0ddde,
orlando_6ffe91be-2df1-41c1-abcc-3aafc7265f22,6ffe91be-2df1-41c1-abcc-3aafc7265f22,orlando,2020-09-02,2020-09-02,Devonshire Commission,,Devonshire Commission,,,,,,,https://commons.cwrc.ca/orlando:6ffe91be-2df1-41c1-abcc-3aafc7265f22,https://commons.cwrc.ca/orlando:6ffe91be-2df1-41c1-abcc-3aafc7265f22,
orlando_70051730-6b38-41db-884f-730c68746d30,70051730-6b38-41db-884f-730c68746d30,orlando,2020-09-02,2020-09-02,Ladies Obstetrical College,,Ladies Obstetrical College,,,,,,,https://commons.cwrc.ca/orlando:70051730-6b38-41db-884f-730c68746d30,https://commons.cwrc.ca/orlando:70051730-6b38-41db-884f-730c68746d30,
orlando_7005ec59-19f9-4139-8903-70e0592869dd,7005ec59-19f9-4139-8903-70e0592869dd,orlando,2020-09-03,2020-09-03,Sisterhood of St John the Baptist,,Sisterhood of St John the Baptist,,,,,,,https://commons.cwrc.ca/orlando:7005ec59-19f9-4139-8903-70e0592869dd,https://commons.cwrc.ca/orlando:7005ec59-19f9-4139-8903-70e0592869dd,
orlando_700e2c5f-feae-422e-9d9b-a692b4b9cca3,700e2c5f-feae-422e-9d9b-a692b4b9cca3,orlando,2020-09-02,2020-09-02,Friendly Society of Agricultural Labourers,,Friendly Society of Agricultural Labourers,,,,,,,https://commons.cwrc.ca/orlando:700e2c5f-feae-422e-9d9b-a692b4b9cca3,https://commons.cwrc.ca/orlando:700e2c5f-feae-422e-9d9b-a692b4b9cca3,
orlando_701beb70-b93b-4935-9955-5120f5f3ec09,701beb70-b93b-4935-9955-5120f5f3ec09,orlando,2020-09-02,2020-09-02,National Trust,,National Trust,http://www.wikidata.org/entity/Q333515,http://viaf.org/viaf/152285425,,National Trust for Places of Historic Interest or Natural Beauty,,,https://commons.cwrc.ca/orlando:701beb70-b93b-4935-9955-5120f5f3ec09,http://viaf.org/viaf/152285425,
orlando_701c9c2b-2b88-4ca5-bedc-f2540ee58dd9,701c9c2b-2b88-4ca5-bedc-f2540ee58dd9,orlando,2020-09-02,2020-09-02,National Society of Craftsmen,,National Society of Craftsmen,,,,,,,https://commons.cwrc.ca/orlando:701c9c2b-2b88-4ca5-bedc-f2540ee58dd9,https://commons.cwrc.ca/orlando:701c9c2b-2b88-4ca5-bedc-f2540ee58dd9,
orlando_70231506-68f7-4e78-9d5d-d49f6417ec10,70231506-68f7-4e78-9d5d-d49f6417ec10,orlando,2020-09-02,2020-09-02,Amadeus Quartet,,Amadeus Quartet,,,,,,,https://commons.cwrc.ca/orlando:70231506-68f7-4e78-9d5d-d49f6417ec10,https://commons.cwrc.ca/orlando:70231506-68f7-4e78-9d5d-d49f6417ec10,
orlando_7037b275-7858-4bd6-ad9e-edde40cd7afa,7037b275-7858-4bd6-ad9e-edde40cd7afa,orlando,2020-09-02,2020-09-02,Ministry of Food Control,,Ministry of Food Control,,,,,,,https://commons.cwrc.ca/orlando:7037b275-7858-4bd6-ad9e-edde40cd7afa,https://commons.cwrc.ca/orlando:7037b275-7858-4bd6-ad9e-edde40cd7afa,
orlando_703edad2-a117-4fb6-90f9-561b79e3f9b9,703edad2-a117-4fb6-90f9-561b79e3f9b9,orlando,2020-09-03,2020-09-03,University Women's Club,,University Women's Club,http://www.wikidata.org/entity/Q7771616,,,,,,https://commons.cwrc.ca/orlando:703edad2-a117-4fb6-90f9-561b79e3f9b9,http://www.wikidata.org/entity/Q7771616,
orlando_704d4335-ad38-4653-a9a5-4999c5ffda42,704d4335-ad38-4653-a9a5-4999c5ffda42,orlando,2020-09-02,2020-09-02,Akira Press,,Akira Press,,,,,,,https://commons.cwrc.ca/orlando:704d4335-ad38-4653-a9a5-4999c5ffda42,https://commons.cwrc.ca/orlando:704d4335-ad38-4653-a9a5-4999c5ffda42,
