"Library of Congress subject heading identifier",,"Library of Congress subject heading label",Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10,Variant 11,Variant 12,Variant 13,Variant 14,Variant 15,Variant 16,Variant 17,Variant 18,Variant 19
http://id.loc.gov/authorities/subjects/sh85101653,physics,Physics,natural philosophy,natural philosophy or science,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85101679,physiology,Physiology,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85101568,physiotherapy,Physical therapy,physical therapy,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85101722,piano,Piano,piano lessons,piano playing,pianoforte,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/childrensSubjects/sj96006296,plays,Plays,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85103704,poetry,Poetry,poetic canon,poetic conventions,poets,poetical reading,poetics,poetry of sappho,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh2002011436,political science,Politics and government,international relations,political studies,political theory,politics,current affairs,"politics,",government,political philosophy,republicanism,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85105344,portuguese,Portuguese,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85108411,psychoanalysis,Psychoanalysis,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85108459,psychology,Psychology,alfred adler's individual psychology,educational child psychology,mental philosophy,psychopathology,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85108638,public health,Public health,hygiene,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85111662,reading,Reading,read,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85112599,religion,Religions,religious,religious doctrine,comparative religion,religious development,religious knowledge,religious studies,religious study,religious education,religious instruction,study her congregational religion,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh95003058,religious books,Classification--Books--Religion,religious texts,religious polemical literature,religious writing,scripture,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85113628,rhetoric,Rhetoric,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85074966,roman literature,Latin literature,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/rus,russian,Russian; Russisch,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85088104,russian film making,Motion pictures--Production and direction,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85115986,russian literature,Russian literature,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/san,sanskrit,Sanskrit,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85118553,science,Science,sciences,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/sco,scots language,Scots,scots,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85119004,sculpture,Sculpture,sculpting,modelling,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85094192,secretarial course,Office practice,secretarial skills,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85120542,sewing,Sewing,sew,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85120549,sex education,Sex,sexually transmitted diseases,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85120938,shakespearian productions,"Shakespeare, William, 1564-1616--Dramatic production",,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85121762,shooting,Shooting,handling a gun,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85121977,shorthand,Shorthand,shorthand typing,shorthand/typing,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/sgn,signing,Sign languages,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85122827,singing,Singing,singer,sing,sang,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85124003,social science,Social sciences,social sciences,applied social studies,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85124049,social work,Social service,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85124200,sociology,Sociology,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/spa,spanish,Spanish,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85126268,spanish literature,Spanish literature,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh99005058,spelling,Orthography and Spelling,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85126779,spiritual learning,Spirituality,meditation,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85130766,surgery,Surgery,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/swa,swahili,Swahili,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85091348,swedenborgianism,New Jerusalem Church,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/swe,swedish,Swedish,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85131207,swimming,Swimming,diving,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/tah,tahitian,Tahitian,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/tam,tamil,Tamil,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85133052,teaching,Teaching,pedagogy,as a teacher,primary education,education,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85133147,technology,Technology,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/childrensSubjects/sj00008212,theatre,Theatre,theatre arts,theatrical entertainments,stage craft,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85134665,theology,Theology,theological learning,theological,divinity or theology,study the law of god,presbyterian theology,anglican theology,mysticism,controversial theology,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85136958,translating,Translating and interpreting,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/rum,romanian,Romanian,"transylvanian,",,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85137149,travel,Travel,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/tur,turkish,Turkish,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85139135,typing,Typewriting,typewriting,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85062855,understood an humane carcase,Human dissection,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/urd,urdu,Urdu,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85142520,vegetarianism,Vegetarianism,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85143544,violin,Violin,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85144229,voice training,Voice culture,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85145673,water colour,Watercolor painting,watercolour painting,water colour sketching,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85145868,weaver,Weaving,weaving,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/wel,welsh,Welsh,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/wol,wolof,Wolof,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85077531,women's writing,Literature--Women authors,early women's fiction,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85148201,world history,World history,international history,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85148637,writing,Writing,writes,write,penmanship,writing a good hand,composition,creative writing,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85125129,yiddish songs,"Songs, Yiddish",,,,,,,,,,,,,,,,,,,
http://id.loc.gov/authorities/subjects/sh85149983,zoology,zoology,,,,,,,,,,,,,,,,,,,
http://id.loc.gov/vocabulary/languages/zul,zulu,Zulu,,,,,,,,,,,,,,,,,,,
